title,description,published_date,channel_id,category,duration,total_views,total_likes,total_comments,video_extracted_date,video_id
Elizabeth: The Golden Age Official Trailer #1 - (2007) HD,"Elizabeth: The Golden Age movie clips: http://j.mp/1CWPWt2
BUY THE MOVIE: http://amzn.to/tsO6Vm
Don't miss the HOTTEST NEW TRAILERS: http://bit.ly/1u2y6pr

CLIP DESCRIPTION:
The sequel follows Queen Elizabeth's (Cate Blanchett) reign of England as she matures and faces marital expectations, an assassination plot, and the Spanish Armada.

FILM DESCRIPTION:
Actress Cate Blanchett returns to her Oscar-nominated role and director Shekhar Kapur steps back into the director's chair for this belated sequel to the critically acclaimed 1998 biopic Elizabeth that explores the 16th century romance between the ""Virgin Queen"" and noted adventurer Sir Walter Raleigh (Clive Owen). Michael Hirst teams with William Nicholson to pen the screenplay, and actor Geoffrey Rush returns to the role of Sir Francis Walsingham.

CREDITS:
TM & © Universal (2007)
Cast: Jordi Mollà, Clive Owen, Geoffrey Rush, Cate Blanchett, Abbie Cornish, Samantha Morton
Director: Shekhar Kapur
Producers: Jonathan Cavendish, Eric Fellner, Liza Chasin, Michael Hirst, Debra Hayward, Mary Richards, Tim Bevan
Screenwriters: Michael Hirst, William Nicholson

WHO ARE WE?
The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes and lines from all your favorite films. Made by movie fans, for movie fans.

SUBSCRIBE TO OUR MOVIE CHANNELS:
MOVIECLIPS: http://bit.ly/1u2yaWd
ComingSoon: http://bit.ly/1DVpgtR
Indie & Film Festivals: http://bit.ly/1wbkfYg
Hero Central: http://bit.ly/1AMUZwv
Extras: http://bit.ly/1u431fr
Classic Trailers: http://bit.ly/1u43jDe
Pop-Up Trailers: http://bit.ly/1z7EtZR
Movie News: http://bit.ly/1C3Ncd2
Movie Games: http://bit.ly/1ygDV13
Fandango: http://bit.ly/1Bl79ye
Fandango FrontRunners: http://bit.ly/1CggQfC

HIT US UP:
Facebook: http://on.fb.me/1y8M8ax
Twitter: http://bit.ly/1ghOWmt
Pinterest: http://bit.ly/14wL9De
Tumblr: http://bit.ly/1vUwhH7",2011-06-16T15:02:45Z,UC3gNmTGu-TTbFPpfSs5kNkg,Film & Animation,176,2932816,13078,1184,2023-08-26T17:48:45.939951,0wNboYbgYjo
Moneyball Trailer 2011 HD,"Moneyball Official Trailer 2011 HD
More info: http://movies.yahoo.com
Genres: Drama, Biopic and Sports
Release Date:  September 23rd, 2011 (wide)
Distributors: Sony Pictures Releasing
Synopsis: ""Moneyball"" is directed by Bennett Miller. The screenplay is by Steven Zaillian and Aaron Sorkin, from a story by Stan Chervin, based on the book by Michael Lewis. The film is produced by Michael De Luca, Rachael Horovitz, and Scott Rudin.",2011-06-16T17:57:32Z,UCgnUUbMNzDag3dd_-gcyvnQ,Entertainment,151,5089600,5546,1707,2023-08-26T17:52:16.251122,AiAHlZVgXjk
Indie Game: The Movie Trailer - WATCH NOW at IndieGameTheMovie.com,"http://www.indiegamethemovie.com

Available for download & Stream at: http://www.indiegamethemovie.com
Direct from the filmmakers.
(multiple encode options, multiple language options, DRM-Free).

Also available on iTunes:
http://itunes.apple.com/us/movie/indie-game-the-movie/id522421254

And also available on Steam:
http://store.steampowered.com/app/207080

Indie Game: The Movie is a feature documentary about video games, their creators and the craft. The film follows the dramatic journeys of indie game developers as they create their games, and as they release those works, and themselves, to the world.

Indie Game: The Movie is about making video games, but at its core, it's about the creative process and exposing yourself through your work.

This trailer and the film features: Edmund McMillen & Tommy Refenes (supermeatboy.com) Phil Fish (polytroncorporation.com)  and Jonathan Blow (braid-game.com)

Original music by Jim Guthrie
jimguthrie.org

Indie Game: The Movie
A film by James Swirsky and Lisanne Pajot
A Blinkworks Production
blink-works.com",2011-06-21T02:20:45Z,UCbRcxXFnNePZNLbg9JyRbNw,Gaming,167,754578,5771,1688,2023-08-26T17:53:23.947258,GhaT78i1x2M
Killer Elite (2011) Movie Theatrical Trailer HD - Robert De Niro Clive Owen Jason Statham,"When his mentor (Robert De Niro) is taken captive, a retired member of Britain's Elite Special Air Service (Jason Statham) is forced into action. His mission: kill three assassins dispatched by their cunning leader (Clive Owen).

The film is currently being shot at Docklands Studios Melbourne in Melbourne, Australia. Filming began on May 13, 2010, based at the Docklands Studios Melbourne in the Docklands. In July 2010, Jason Statham's scenes were shot at the Brecon Beacons in Wales. (The British S.A.S. regiment trains there and that is thought to be one of the reasons why it was chosen as a location for the movie.) In May 2010, it was announced that Oscar-winning actor Robert De Niro would join the cast, shooting for ten days in a small role as an assassin. De Niro filmed a scene in Melbourne's Spring Street set in 1970s Paris.[4]
Some London scenes are currently being filmed in Cardiff -- on July 29, De Niro and Statham were seen filming outside The Promised Land Bar on Windsor Place.
On July 28, 2010, location filming took place near the Storey Arms outdoor centre, in the Brecon Beacons. A number of 1970's period cars were in evidence, particularly a bright orange Austin Maxi. The peaks of Pen Y Fan are accessible from this location, and are known to be used by the SAS as part of their selection process and ongoing training.

The Killer Elite is a 1975 American action thriller film starring James Caan and Robert Duvall and directed by Sam Peckinpah.
The screenplay was written by Marc Norman and Stirling Silliphant from the Robert Rostand novel Monkey in the Middle. The film represents the last collaboration between Peckinpah and soundtrack composer Jerry Fielding, who apparently felt the creative partnership had run its course.

Two agents belong to the so-called Killer Elite, a private mercenary organization working for Com-Teg: Communications Integrity Associates (i.e., CIA).
George Hansen, having been bought out by an unknown rival group, assassinates a man they are supposed to be protecting, and shoots his partner Mike Locken in the knee and elbow as part of the bargain.
Crippled for life and his career seemingly at an end, Locken undergoes a long rehabilitation and earns another assignment from his Com-Teg contact man, Cap Collis. It requires him to protect an Asian client, Yuen Chung. It also gives him the opportunity to seek revenge against Hansen, who is part of the team out to assassinate the client.
Locken, now skilled in martial arts with the help of his cane, recruits a couple of former associates, Miller and Mac, to help him. However, the deal turns out to be an elaborate set-up, part of an internal power struggle involving the Com-Teg directors, Collis and his superior Weybourne.
Hansen gets the drop on Locken, but is killed by Miller. A final showdown between the Asian rivals takes place aboard an abandoned naval vessel in port, with Locken and Mac involved in the fray and confronting Collis one last time.",2011-06-23T00:03:59Z,UCi8e0iOVk1fEOogdfu4YgfA,Entertainment,97,4170359,4492,1253,2023-08-26T17:52:18.906787,8F1wrDsUqYc
Footloose Movie Trailer Official (HD),"http://bit.ly/SubClevverTV - Subscribe!
http://Facebook.com/ClevverTV - Become a Fan!
http://Twitter.com/ClevverTV - Follow Us!

Writer/Director Craig Brewer (""Hustle & Flow,"" ""Black Snake Moan"") delivers a new take of the beloved 1984 classic film, ""Footloose.""  Ren MacCormack (played by newcomer Kenny Wormald) is transplanted from  Boston to the small southern town of Bomont where he experiences   a heavy dose of culture shock.  A few years prior, the community was rocked by a tragic accident that killed five teenagers after a night out and Bomont's local councilmen and the beloved Reverend Shaw Moore (Dennis Quaid) responded by implementing ordinances that prohibit loud music and dancing.   Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister's troubled daughter Ariel (Julianne Hough) in the process.

Footloose movie trailer courtesy of Paramount Pictures.",2011-06-23T01:28:58Z,UCbdTs9fanN16NOrYSmq1JeQ,Film & Animation,154,4356235,9106,2911,2023-08-26T17:52:22.830408,gtjI6OHVk00
BUCKY LARSON: BORN TO BE A STAR - Official Trailer - In Theaters 9/9!,"Release Date: 9 September 2011 (United States)
Bucky Larson: Born to Be a Star is a new comedy starring Nick Swardson, Christina Ricci, Don Johnson, and Stephen Dorff.  Bucky (Swardson) is a small town grocery bagger, going nowhere in life -- until he discovers that his conservative parents were once adult film stars!  Armed with the belief that he has found his destiny, Bucky packs up and heads out to LA, hoping to follow in his parents' footsteps.

Genre: Comedy
Cast: Edward Herrmann, Don Johnson, Kevin Nealon, Christina Ricci, Stephen Dorff, Nick Swardson
Director: Tom Brady
Screenplay By: Adam Sandler, Nick Swardson, Allen Covert

Subscribe to Sony Pictures for more great content: http://bit.ly/SonyPicsSubscribe
Check out BuckyLarson.com!",2011-06-24T18:13:08Z,UCz97F7dMxBNOfGYu3rx8aCw,Entertainment,143,1031916,2099,1142,2023-08-26T17:52:40.500780,cRT93a8xE5s
Jack & Jill,,2011-07-08T18:33:22Z,UC8L5Wz9oWXKIusLVffCvhmw,People & Blogs,154,867602,2050,1691,2023-08-26T17:52:27.618821,uA48UG0gkJI
The Inbetweeners Movie (Full Official Movie Trailer),"The offical movie trailer for the inbetweeners here's the first look exclusive of the full trailer for the movie. It's in cinemas August 19.
http://www.facebook.com/pages/The-Inbetweeners-Movie/163419627060886",2011-07-08T20:13:30Z,UCvNXNcI7XYOwwMdStctOUyA,Film & Animation,127,4533150,9943,2234,2023-08-26T17:52:14.418271,V3HzTKbsqsY
JOHN CARTER | Trailer 2012 -- Official Movie Trailer | Official Disney UK,"Check out the NEW John Carter trailer here: http://www.youtube.com/watch?v=WR6HUkzxjR0

Visit the official website at http://www.disney.co.uk/john-carter
Subscribe to Disney UK: http://bit.ly/subscribe-to-disney  
Follow us on Twitter: https://twitter.com/Disney_UK 
Like our official Facebook page: https://www.facebook.com/DisneyUK

John Carter of Mars is inexplicably transported to the mysterious and exotic planet Mars, and becomes embroiled in a conflict of epic proportions and discovers that the survival of the planet and its people rests in his hands. 

John Carter of Mars will be out in UK cinemas in March 2012.

John Carter is a sweeping action-adventure set on the mysterious and exotic planet of Barsoom (Mars). John Carter is based on a classic novel by Edgar Rice Burroughs, the creator of Tarzan, whose highly imaginative adventures served as inspiration for many filmmakers, both past and present. The film tells the story of war-weary, former military captain John Carter (Taylor Kitsch), who is inexplicably transported to Mars where he becomes reluctantly embroiled in a conflict of epic proportions amongst the inhabitants of the planet, including Tars Tarkas (Willem Dafoe) and the captivating Princess Dejah Thoris (Lynn Collins). In a world on the brink of collapse, Carter rediscovers his humanity when he realizes that the survival of Barsoom and its people rests in his hands.

The Disney UK YouTube channel brings you a wealth of official video content from all the Disney movies and characters you know and love. Do you want to learn more about your favourite Disney and Pixar movies? Subscribe to our channel to watch the latest trailers and clips, you'll be the first to see features for current and upcoming Walt Disney Studios Films and even get to watch exclusive interviews with the stars. Dig into our back catalogue for great Disney videos from classic animations through to modern day Disney & Pixar classics such as Frozen and Inside Out.",2011-07-14T11:56:21Z,UCQphRgAhj5UxktrQNP3WF5g,Film & Animation,98,9406803,9557,2728,2023-08-26T17:52:45.825875,6Rf55GTEZ_E
ANOTHER EARTH trailer 2011 official movie,"Another Earth trailer 2011 - official movie trailer

In ANOTHER EARTH, Rhoda Williams (Brit Marling), a bright young woman accepted into MIT's astrophysics program, aspires to explore the cosmos. A brilliant composer, John Burroughs (William Mapother), has just reached the pinnacle of his profession and is about to have a second child. On the eve of the discovery of a duplicate Earth, tragedy strikes and the lives of these strangers become irrevocably intertwined.

Another Earth movie trailer courtesy 20th Century Fox.
 
Genre: Drama

Official Site: http://anotherearth.com

Director: Mike Cahill

Cast: William Mapother, Brit Marling, Jordan Baker, Robin Lord Taylor, Flint Beverage

Writers: Mike Cahill, Brit Marling
 
Mike Cahill- In his auspicious debut, director Mike Cahill offers a taut, superbly conceived science fiction romance that marks the emergence of the multitalented actor/screenwriter Brit Marling. Marrying character with high concept, Another Earth lures audiences to go where no one has gone before.  Another Earth, directed and written by Mike Cahill and written by Brit Marling, is the recipient of the 2011 Alfred P. Sloan Feature Film Prize at this year's Sundance Film Festival. Now in its ninth year, the Prize carries a $20,000 cash award by the Alfred P. Sloan Foundation, and is presented to an outstanding feature film focusing on science or technology as a theme, or depicting a scientist, engineer or mathematician as a major character.
 
William Mapother is an American actor and former teacher. Mapother has become widely known as a character actor, who sometimes plays scary or otherwise dark characters. Despite playing a pivotal role in Todd Field's In the Bedroom, Mapother is perhaps more widely known as Ethan Rom in the TV show Lost. The character was killed off early in the first season, but since then has appeared in seven episodes mainly through flashbacks, once due to time travel and another in an alternate timeline. This brings the total amount of Lost episodes he appeared in up to eleven. Mapother has also had considerable roles in a series of independent films, such as The Lather Effect, Moola and the upcoming Hurt, in which he stars alongside Melora Walters as the 'reclusive' brother-in-law of Walters' character. Mapother starred in The Burrowers as a former Indian fighter who joins a posse to help find missing white settlers, only to discover that the hunters have become the hunted. In September 2007, he was elected to a three-year term on the National Board of Directors for the Screen Actors Guild.

Streaming Clips is your daily dose of everything movies. We bring you the best of official licensed movie trailers and movie clips.",2011-07-14T23:02:02Z,UCkOss2udciX-YLl-fNyR4Kw,Film & Animation,137,3406219,6442,1274,2023-08-26T17:52:11.603947,QlPfAYpnpuw
Mega Shark Vs. Crocosaurus - Official Trailer [HD],"Sharks are intelligent! here's proof: http://goosebum.ps/2017/09/01/when-a-shark-meets-with-a-porn-star/






Oh well, Megalodons are never dead - they need a new prey to play with.
And you have to admit that Dinoshark was a bit clumsy, compared to the Crocosaurus.

Starring: Gary Stretch, Jaleel White, Sarah Lieving, Hannah Cowley",2011-07-15T08:00:48Z,UCYB7ThKPX4Zhh2KxoImQO1w,Film & Animation,64,2908437,4063,1421,2023-08-26T17:52:44.533418,AqZlCWkH4P0
The Dark Knight Rises - Official Teaser Trailer [HD],"Warner Bros. Pictures' and Legendary Pictures' ""The Dark Knight Rises"" is the epic conclusion to filmmaker Christopher Nolan's Batman trilogy.

Leading an all-star international cast, Oscar® winner Christian Bale (""The Fighter"") again plays the dual role of Bruce Wayne/Batman. The film also stars Anne Hathaway, as Selina Kyle; Tom Hardy, as Bane; Oscar® winner Marion Cotillard (""La Vie en Rose""), as Miranda Tate; and Joseph Gordon-Levitt, as John Blake.

Returning to the main cast, Oscar® winner Michael Caine (""The Cider House Rules"") plays Alfred; Gary Oldman is Commissioner Gordon; and Oscar® winner Morgan Freeman (""Million Dollar Baby"") reprises the role of Lucius Fox.

The screenplay is written by Christopher Nolan and Jonathan Nolan, story by Christopher Nolan & David S. Goyer.  The film is produced by Emma Thomas, Christopher Nolan and Charles Roven, who previously teamed on ""Batman Begins"" and the record-breaking blockbuster ""The Dark Knight.""  The executive producers are Benjamin Melniker, Michael E. Uslan, Kevin De La Noy and Thomas Tull, with Jordan Goldberg serving as co-producer. The film is based upon characters appearing in comic books published by DC Comics.  Batman was created by Bob Kane.",2011-07-18T15:28:40Z,UCjmJDM5pRKbUlVIzDYYWb6g,Entertainment,96,2539127,34839,2801,2023-08-26T17:52:33.011348,z5Humz3ONgk
Red State Official Trailer - coopersdell.com,"On September 1st, Lionsgate will debut Red State on VOD.  The untraditional, direct-to-fan, touring theatrical release pioneered by SModcast Pictures during the Red State USA Tour continues this fall.

Visit Coopersdell.com and smodcast.com",2011-07-27T13:31:30Z,UCFDMQBmLvbUL8wCSQ12d1cg,Film & Animation,153,2122037,3556,1644,2023-08-26T17:52:14.809004,uJ1v6oFHefc
Tower Heist (2011) Official HD Trailer,"After the workers at a luxury Central Park condominium discover the penthouse billionaire has stolen their retirement, they plot the ultimate revenge: a heist to reclaim what he took from them.",2011-07-28T16:37:12Z,UCi8e0iOVk1fEOogdfu4YgfA,Entertainment,179,6349923,12636,1523,2023-08-26T17:52:26.311702,Z4KXF7NWFRE
We Need to Talk About Kevin (2011) Trailer,"UK trailer for Lynne Ramsay's We Need to Talk About Kevin, in UK cinemas from this October.",2011-08-13T01:21:01Z,UC-PKWm9o9jNdH0UDLF9LqoQ,Film & Animation,101,3131736,7550,1866,2023-08-26T17:52:23.097856,ZLRgAe2jLaw
Hellraiser Revelations [Official Trailer],"Pinhead is back and in his chamber of soulless delights, he thought he had two willing participants in Steven and Nico. But Nico wants out and decides that a member of Steven's family will serve as proper barter.

Director: 
Victor Garcia

Screenwriter: 
Gary J. Tunnicliffe

Starring: 
Nick Eversman, Steven Brand, Tracey Fairaway, Jay Gillespie, Sanny Van Heteren, Daniel Buran, Devon Sorvari",2011-08-17T21:33:06Z,UCnY134EXjHiYksgQCDPWtBQ,Entertainment,119,1380932,884,1624,2023-08-26T17:53:26.122998,orWK-QlPSfg
The Lord of the Rings: The Fellowship of the Ring Official Trailer #1 - (2001) HD,"The Lord of the Rings: The Fellowship of the Ring movie clips: http://j.mp/1CLwxex
BUY THE MOVIE: http://bit.ly/2cqARtE
Don't miss the HOTTEST NEW TRAILERS: http://bit.ly/1u2y6pr

CLIP DESCRIPTION:
In a small village in the Shire a young Hobbit named Frodo (Elijah Wood) has been entrusted with an ancient Ring. Now he must embark on an epic quest to the Cracks of Doom in order to destroy it.

FILM DESCRIPTION:
New Zealand filmmaker Peter Jackson fulfills his lifelong dream of transforming author J.R.R. Tolkien's best-selling fantasy epic into a three-part motion picture that begins with this holiday 2001 release. Elijah Wood stars as Frodo Baggins, a Hobbit resident of the medieval ""Middle-earth"" who discovers that a ring bequeathed to him by beloved relative and benefactor Bilbo (Ian Holm) is in fact the ""One Ring,"" a device that will allow its master to manipulate dark powers and enslave the world. Frodo is charged by the wizard Gandalf (Ian McKellen) to return the ring to Mount Doom, the evil site where it was forged millennia ago and the only place where it can be destroyed. Accompanying Frodo is a fellowship of eight others: his Hobbit friends Sam (Sean Astin), Merry (Dominic Monaghan), and Pippin (Billy Boyd); plus Gandalf; the human warriors Aragorn (Viggo Mortensen) and Boromir (Sean Bean); Elf archer Legolas (Orlando Bloom); and Dwarf soldier Gimli (John Rhys-Davies). The band's odyssey to the dreaded land of Mordor, where Mount Doom lies, takes them through the Elfish domain of Rivendell and the forest of Lothlorien, where they receive aid and comfort from the Elf princess Arwen (Liv Tyler), her father, Elrond (Hugo Weaving), and Queen Galadriel (Cate Blanchett). In pursuit of the travelers and their ring are Saruman (Christopher Lee) -- a traitorous wizard and kin, of sorts, to Gandalf -- and the Dark Riders, under the control of the evil, mysterious Sauron (Sala Baker). The Fellowship must also do battle with a troll, flying spies, Orcs, and other deadly obstacles both natural and otherwise as they draw closer to Mordor. The Lord of the Rings: The Fellowship of the Ring (2001) was filmed in Jackson's native New Zealand, closely followed by its pair of sequels, The Two Towers (2002) and The Return of the King (2003).

CREDITS:
TM & © Warner Bros. (2001)
Cast: Sean Astin, Sean Bean, Orlando Bloom, Billy Boyd, Ian Holm, Christopher Lee, Ian McKellen, Peter McKenzie, Dominic Monaghan, Viggo Mortensen, John Rhys-Davies, Andy Serkis, Harry Sinclair, David Weatherley, Hugo Weaving, Elijah Wood, Cate Blanchett, Liv Tyler
Director: Peter Jackson
Producers: Peter Jackson, Michael Lynne, Mark Ordesky, Barrie M. Osborne, Rick Porras, Jamie Selkirk, Robert Shaye, Bob Weinstein, Harvey Weinstein, Fran Walsh, Ellen Somers, Tim Sanders
Screenwriters: Philippa Boyens, Peter Jackson, J.R.R. Tolkien, Fran Walsh

WHO ARE WE?
The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes and lines from all your favorite films. Made by movie fans, for movie fans.

SUBSCRIBE TO OUR MOVIE CHANNELS:
MOVIECLIPS: http://bit.ly/1u2yaWd
ComingSoon: http://bit.ly/1DVpgtR
Indie & Film Festivals: http://bit.ly/1wbkfYg
Hero Central: http://bit.ly/1AMUZwv
Extras: http://bit.ly/1u431fr
Classic Trailers: http://bit.ly/1u43jDe
Pop-Up Trailers: http://bit.ly/1z7EtZR
Movie News: http://bit.ly/1C3Ncd2
Movie Games: http://bit.ly/1ygDV13
Fandango: http://bit.ly/1Bl79ye
Fandango FrontRunners: http://bit.ly/1CggQfC

HIT US UP:
Facebook: http://on.fb.me/1y8M8ax
Twitter: http://bit.ly/1ghOWmt
Pinterest: http://bit.ly/14wL9De
Tumblr: http://bit.ly/1vUwhH7",2011-09-02T09:01:51Z,UC3gNmTGu-TTbFPpfSs5kNkg,Film & Animation,176,5794110,32004,2769,2023-08-26T17:43:59.453250,V75dMMIW2B4
One Day Official Trailer #1 - (2011) HD,"One Day movie clips: http://j.mp/1CM1y21
BUY THE MOVIE: http://amzn.to/vgxn2f
Don't miss the HOTTEST NEW TRAILERS: http://bit.ly/1u2y6pr

CLIP DESCRIPTION:
After spending the night together on the night of their college graduation Dexter (Jim Sturgess) and Em (Anne Hathaway) reunite each year on the same date to see where they are in their lives.

FILM DESCRIPTION:
After one day together - July 15th, 1988, their college graduation - Emma Morley (Anne Hathaway) and Dexter Mayhew (Jim Sturgess) begin a friendship that will last a lifetime. She is a working-class girl of principle and ambition who dreams of making the world a better place. He is a wealthy charmer who dreams that the world will be his playground. For the next two decades, key moments of their relationship are experienced over several July 15ths in their lives. Together and apart, we see Dex and Em through their friendship and fights, hopes and missed opportunities, laughter and tears. Somewhere along their journey, these two people realize that what they are searching and hoping for has been there for them all along. As the true meaning of that one day back in 1988 is revealed, they come to terms with the nature of love and life itself. -

CREDITS:
TM & © Universal (2011)
Cast: Anne Hathaway, Jim Sturgess, Romola Garai, Patricia Clarkson
Director: Lone Scherfig
Producers: Raphaël Benoliel, Jane Frazer, Nina Jacobson, Tessa Ross
Screenwriter: David Nicholls

WHO ARE WE?
The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes and lines from all your favorite films. Made by movie fans, for movie fans.

SUBSCRIBE TO OUR MOVIE CHANNELS:
MOVIECLIPS: http://bit.ly/1u2yaWd
ComingSoon: http://bit.ly/1DVpgtR
Indie & Film Festivals: http://bit.ly/1wbkfYg
Hero Central: http://bit.ly/1AMUZwv
Extras: http://bit.ly/1u431fr
Classic Trailers: http://bit.ly/1u43jDe
Pop-Up Trailers: http://bit.ly/1z7EtZR
Movie News: http://bit.ly/1C3Ncd2
Movie Games: http://bit.ly/1ygDV13
Fandango: http://bit.ly/1Bl79ye
Fandango FrontRunners: http://bit.ly/1CggQfC

HIT US UP:
Facebook: http://on.fb.me/1y8M8ax
Twitter: http://bit.ly/1ghOWmt
Pinterest: http://bit.ly/14wL9De
Tumblr: http://bit.ly/1vUwhH7",2011-09-03T01:34:57Z,UC3gNmTGu-TTbFPpfSs5kNkg,Film & Animation,180,12861665,79161,2513,2023-08-26T17:52:04.514368,zVuuooZqVaU
Warrior (2011) Movie Trailer HD,"Rising stars Tom Hardy and Joel Edgerton command the screen as two estranged brothers facing the fight of a lifetime in Lionsgate's WARRIOR, a moving, inspirational action drama from acclaimed director Gavin O'Connor (MIRACLE). Haunted by a tragic past, ex-Marine Tommy Conlon (Hardy) returns home for the first time in fourteen years to enlist the help of his father (Nick Nolte) to train for SPARTA, the biggest winner-takes-all event in mixed martial arts history. A former wrestling prodigy, Tommy blazes a path toward the championship while his brother, Brendan (Edgerton), an ex-fighter-turned teacher, returns to the ring in a desperate bid to save his family from financial ruin. But when Brendan's unlikely, underdog rise sets him on a collision course with the unstoppable Tommy, the two brothers must finally confront each other and the forces that pulled them apart, facing off in the most soaring, soul stirring, and unforgettable climax that must be seen to be believed. A rousing ode to redemption, reconciliation and the power of the human spirit, WARRIOR is also a moving testament to the enduring bonds of family.",2011-09-07T17:45:56Z,UCi8e0iOVk1fEOogdfu4YgfA,Film & Animation,153,7630945,29677,1472,2023-08-26T17:52:18.420345,I5kzcwcQA1Q
(Official Trailer) THRIVE: What On Earth Will It Take?,"Watch THRIVE II FREE FOR LIMITED TIME: https://thriveon.com/free
Sign up for a free 7 day trial of the FREEDOM PORTAL: https://fp-prod.thriveon.com/

Watch THRIVE II Trailer now: https://bit.ly/Thrive-II
Watch THRIVE I for FREE at: https://www.ThriveOn.com
Donate to support THRIVE: https://www.thriveon.com/donate
Sign up to stay informed: https://www.ThriveOn.com
Follow us on Facebook: http://www.facebook.com/ThriveMovement
Follow us on Twitter: https://twitter.com/thrivemovement
Follow us on Instagram: https://www.instagram.com/thrive_movie
Follow ThriveOn on Gettr: https://gettr.com/user/thriveon
Follow ThriveOn on Odysee: https://odysee.com/@Thrive:b
Follow ThriveOn on Rumble: https://rumble.com/c/c-1382264

Film Synopsis:
THRIVE is an unconventional documentary that lifts the veil on what's REALLY going on in our world by following the money upstream -- uncovering the global consolidation of power in nearly every aspect of our lives. Weaving together breakthroughs in science, consciousness and activism, THRIVE offers real solutions, empowering us with unprecedented and bold strategies for reclaiming our lives and our future.

https://www.ThriveOn.com",2011-09-07T20:32:47Z,UCMffZS4_Fp-e-xG1u1IXoNg,Film & Animation,220,3195214,19068,2998,2023-08-26T17:52:53.763197,OibqdwHyZxk
PREMIUM RUSH - Official Trailer - In Theaters August 2012,"Release Date: 24 August 2012 (United States)
Dodging speeding cars, crazed cabbies, open doors, and eight million cranky pedestrians is all in a day's work for Wilee (Joseph Gordon-Levitt), the best of New York's agile and aggressive bicycle messengers.  It takes a special breed to ride the fixie -- super lightweight, single-gear bikes with no brakes and riders who are equal part skilled cyclists and suicidal nutcases who risk becoming a smear on the pavement every time they head into traffic.  

But a guy who's used to putting his life on the line is about to get more than even he is used to when a routine delivery turns into a life or death chase through the streets of Manhattan.  When Wilee picks up his last envelope of the day on a premium rush run, he discovers this package is different.  This time, someone is actually trying to kill him.

Genre: Action / Crime / Thriller
Cast: Joseph Gordon-Levitt, Michael Shannon, Henry O, Dania Ramirez, Jamie Chung,
Director: David Koepp
Writers: David Koepp, John Kamps

Subscribe to Sony Pictures for more great content: http://bit.ly/SonyPicsSubscribe",2011-09-15T23:10:34Z,UCz97F7dMxBNOfGYu3rx8aCw,Film & Animation,145,5200472,18698,2470,2023-08-26T17:53:07.637661,Pn6ie1zCkZU
The Godfather Trailer (HD),"Update 7/14/16
Thanks for all the views! the real credit goes to Francis Ford Coppola for making such a great movie/franchise. Go watch more fan-made trailers on my channel!



The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son. 

A Francis Ford Coppola Film
Starring: MARLON BRANDO
AL PACINO
ROBERT DUVALL
JAMES CAAN
DIANE KEATON
STERLING HAYDEN
JOHN CAZALE",2011-09-18T12:57:35Z,UCiDvT7aec6zXLjMJn_oL0rw,Film & Animation,95,5632963,25966,1520,2023-08-26T17:41:52.315348,sY1S34973zA
THE GREY Movie Trailer 2012 Official Teaser [HD],"THE GREY Trailer 2012 - official movie teaser trailer - starring Liam Neeson 

In Alaska, an oil drilling team struggle to survive after a plane crash strands them in the wild. Hunting the humans are a pack of wolves who see them as intruders.

The Grey movie hits theaters on January 27, 2012.

Liam Neeson leads an unruly group of oil-rig roughnecks when their plane crashes into the remote Alaskan wilderness. Battling mortal injuries and merciless weather, the survivors have only a few days to escape the icy elements -- and a vicious pack of rogue wolves on the hunt -- before their time runs out. The Grey movie trailer 2012, official teaser trailer, is presented in full HD 1080p high resolution. 

THE GREY 2012 Movie
Cast: Liam Neeson, Dallas Roberts, James Badge Dale, Dermot Mulroney, Frank Grillo
Director: Joe Carnahan
Genre: Action

The Grey trailer 2012, official movie teaser trailer, courtesy Open Road Films.

Streaming Clips is your daily dose of everything movies. We bring you the best of official licensed movie trailers and movie clips.",2011-09-24T05:28:48Z,UCkOss2udciX-YLl-fNyR4Kw,Film & Animation,87,4404005,5821,2365,2023-08-26T17:52:36.916242,Hfb0-U0ydj8
